sha	committed_at	subject
3b663a74ec5d64e2f99b80ca590429df1415e02d	2026-09-11T10:49:20-07:00	feat(onboarding): Linux x64 Person kit with bundled Node (#182)
91ef3d115006fa2e38432554d15ad2a07b5c6843	2026-09-10T23:57:25-07:00	fix(installer): remove employee dependency on Apple developer tools (#181)
162dc55c5e0e551f4e21ee4a91cedf6aff9a962e	2026-09-10T23:02:45-07:00	Merge pull request #179 from EchoBrain-org/feat/slack-disconnect
ba73559718ba1ba9f908c2916491853bd75de05b	2026-09-10T22:14:48-07:00	Merge pull request #178 from EchoBrain-org/fix/slack-browser-query-callback
14537f7a977097c60d35f13fed5dc8f9917bf109	2026-09-10T16:05:08-07:00	Merge pull request #177 from EchoBrain-org/feat/slack-connect-oidc
b79184b1c3da0548d417840eb46616f7debc1f2d	2026-09-10T14:43:17-07:00	Merge pull request #175 from EchoBrain-org/feat/employee-tools-166
23a24c21e50c6df719518f36cb002e1d42163a52	2026-09-10T14:06:06-07:00	Merge pull request #176 from EchoBrain-org/fix/reset-diagnostics-168
ed7070ad9dc933f6031fb059cc4c525886149912	2026-09-10T13:50:15-07:00	Merge pull request #172 from EchoBrain-org/fix/installer-hygiene-167
637cfeb79725a1faeec1b74f8f4e687860321a6d	2026-09-10T13:42:46-07:00	Merge pull request #171 from EchoBrain-org/fix/answer-reliability-112
6bdf352f23859131a6511d1df6378c889726da95	2026-09-10T13:35:59-07:00	Merge pull request #173 from EchoBrain-org/fix/retrieval-candidates-169
db499b8c074c167112402ae90f42d39e8587c022	2026-09-10T13:29:48-07:00	Merge pull request #174 from EchoBrain-org/fix/telemetry-attribution-170
a5cc4261881e4f576204f3b7626b795f8b71a820	2026-09-10T01:06:55-07:00	Merge pull request #165 from EchoBrain-org/feat/overlay-source-context
3331d858d08cc237d3152fddac0d138a47a53e5f	2026-09-09T23:40:16-07:00	Merge pull request #163 from EchoBrain-org/fix/retrieval-coverage
3bd561c9c5f00692b2797fbd494d248e0ffef839	2026-09-09T23:00:51-07:00	Merge pull request #164 from EchoBrain-org/fix/search-readiness-latency
0ecd35292ff4763ba8a3ba3e5a742c44e96fa347	2026-09-09T22:54:08-07:00	Merge pull request #161 from EchoBrain-org/fix/meeting-evidence-quotes
184d19c31bf7d579c133ddf174ccdf04699c3400	2026-09-09T22:42:26-07:00	Merge pull request #162 from EchoBrain-org/fix/insufficient-evidence-answer
b0d483cb32eb40e2d8e8fd92f7e1fe39b161d4cc	2026-09-09T17:00:32-07:00	Merge pull request #160 from EchoBrain-org/fix/explorer-journey-pagination
2e9fd23bd238acb4e11d977d47905a4d792c2764	2026-09-09T15:20:48-07:00	Merge pull request #159 from EchoBrain-org/fix/explorer-nested-projection
12e267f724b44de31295d3663f2635717e218808	2026-09-09T12:40:46-07:00	Merge pull request #158 from EchoBrain-org/fix/staging-telemetry-replay
eca3a2c4923dc75489b2cbc0391ea68bc2880eba	2026-09-09T12:05:34-07:00	Merge pull request #156 from EchoBrain-org/test/answer-coverage-112
c67fcd3c08a5f519bf26d348a3874f08a2310190	2026-09-09T11:50:43-07:00	Merge pull request #155 from EchoBrain-org/fix/approval-search-scheduling
5d7116e08beb668a4c7dfd832a0cd62113236ca4	2026-09-09T11:38:23-07:00	Merge pull request #154 from EchoBrain-org/feat/bm25-scoring
db5153e09c94c3132fbc8c856df9748af1107d9f	2026-09-09T10:58:27-07:00	Merge pull request #152 from EchoBrain-org/feat/core-runtime-observability
b760a2dd5187e63b98db0417f049b110d1d0b296	2026-09-08T16:21:55-07:00	Merge pull request #151 from EchoBrain-org/fix/staging-four-meeting-transfer
9f186bc2d045d4dfe4737959bed19058fa56a2e3	2026-09-08T13:05:33-07:00	Merge pull request #150 from EchoBrain-org/refactor/lean-runtime-loop
